"7","SPORC Brigade Kalaweit","Satuan Polisi Hutan Reaksi Cepat (SPORC) Rapid Reaction Forest Police Indonesia","1"
"10","Wildlife Rapid Rescue Team (WRRT)","Wildlife Alliance","1"
"11","Wildlife Alliance","","1"
"17","Philippines Bureau of Customs HQ","Phillipines Bureau of Customs","1"
"18","Philippines Bureau of Customs Intelligence Group","Phillipines Bureau of Customs","1"
"19","Philippines Bureau of Customs Enforcement Group","Phillipines Bureau of Customs","1"
"20","Royal Thai Police Natural Resources and Environmental Crime Suppression Division (NRECD)","Royal Thai Police","1"
"21","Phnom Tamao Wildlife Rescue Center","Cambodian Forestry Administration","1"
"23","Tat Kuang Si Bear Rescue Centre","N/A","1"
"66","Freeland ","","1"
"70","DNP Veterinary Clinic (Central)","Thai Department of National Parks, Wildlife & Plant Conservation (DNP)","1"
"71","ASEAN-WEN Program Coordination Unit","ASEAN Wildlife Enforcement Network","1"
"72","Education for Nature Vietnam ENV","Not applicable","1"
"73","ACRES Singapore Animal Concerns Research & Education Society ","Not applicable","1"
"74","ACRES Lao PDR Animal Concerns Research & Education Society ","Not applicable","0"
"75","Free the Bears Cambodia","","1"
"92","Mr. Haji Ajamain bin Haji Sawal","Brunei Darussalam Wildlife Division, Ministry of Industry and Promary Resources","1"
"93","Mr. Haji Muhammad Faisal bin Haji Nordin","Wildlife Division, Ministry of Industry and Promary Resources","1"
"94","Mr. Reni Haji Yahya","Forestry Deprtment, Ministry of Industry and Primary Resources","1"
"95","Hj Amran Hj Ibrahim","Royal Customs and Excise Department Headquarters, Ministry of Finance, Brunei Darussalam","1"
"96","PG. Hj. Zamani PG HJ Ahmad","Royal Brunei Police Force Headquarters","1"
"97","His Excellency Tim Sipha","Department of Legislation and Enforcement, Forestry Administration Ministry of Agriculture, Forestry","1"
"98","Mr. Suon Sovann","Department of Legislation and Enforcement, Forestry Administration Ministry of Agriculture, Forestry","1"
"99","Mr. Em Khin Vorac","Cambodian Customs and Excise","1"
"100","Lt. Col. Suon Nara","Anti-Crime Police Department","1"
"101","Mr. Sonny Partono","Ministry of Forestry, Indonesia","1"
"102","Ms. Exploitasia Semiawan","Ministry of Forestry, Indonesia","1"
"103","Mr. Ardi Risman","Directorate of Investigation and Forest Protection","1"
"104","Mr. Hatta Wardhana","Indonesia Customs","1"
"108","Mr. Phonesavanh Sophakhamphanh","Aquatic and Wildlife Inspections Division, Department of Forest Inspection, Ministry of Agriculture ","1"
"109","Mr. Bouaphanh Phanthavong","Division of Forest Resources Conservation, Department of Forestry, Ministry of Natural Resources and","1"
"110","Mr. Bounma Hemmavanh","Anti-Smuggling Division, Department of Customs","1"
"111","Mr. Anousinh Sakpraseuth","Department of Economic Police, Ministry of Public Security","1"
"113","Mr. Simon David","Biodiversity and Forestry Management Division, Ministry of Natural Resources and Environment","1"
"114","Ms. Habsah Harun","Royal Malaysian Customs","1"
"115","Superintendent Gan Tack Guan","Royal Malaysian Police","1"
"117","Mr. Noor Alif Wira Bin Osman","Department of Wildlife and National Parks, Peninsular Malaysia","1"
"118","Madam Wan Normah Wan Ismail","Plant Quarantine and Protection Division, Department of Agriculture","1"
"119","Mr. Ho Haw Leng","Plant Quarantine and Protection Division, Department of Agriculture","1"
"120","Mr. Ahmad Hazizi Bin Aziz","Fisheries Biosecurity Division, Department of Fisheries","1"
"121","Mr. Abdullah Bin Md. Dan","Fisheries Biosecurity Division, Department of Fisheries","1"
"122","Madam Hajah Norchahaya Binti Hashim","Licensing and Enforcement Division, Malaysian Timber Industry Board","1"
"123","Mr. Zulkepli Bin Abd Rani","Licensing and Enforcement Division, Malaysian Timber Industry Board","1"
"124","Mr. Engkamat Lading","Sarawak Forest Department","1"
"125","Mr. Mohamad Bin Kombi Khodi","Sarawak Forest Department","1"
"126","Mr. Abdul Karim Dakog","Sabah Wildlife Department","1"
"127","Mr. Silvester Saimin","Sabah Wildlife Department","1"
"128","Mr. Augustine Tuuga","Sabah Wildlife Department","1"
"129","Mr. Lawerence Kissol","Sabah Wildlife Department","1"
"130","U Nyi Nyi Kyaw Ph.D","Forest Department, Ministry of Environmental Conservation and Forestry","1"
"131","U Win Naing Thaw","Nature and Wildlife Conservation Division,Forest Department, Ministry of Environmental Conservation ","1"
"132","U Htin Paw","Customs Department","1"
"133","U Khin Zaw","Trade Department","1"
"134","U Kyaw Zan","General Administrative Department","1"
"135","Pol. Lt. Col. Kyaw Win Thein","Myanmar Police Force","1"
"136","U Khin Maung Oo","Attorney General Office","1"
"137","Department of Environment and Natural Resources (DENR) ","Department of Environment and Natural Resources Philippines","1"
"138","Dr. Theresa Mundita Lim","Protected Areas and Wildlife Bureau (PAWB)","1"
"139","Ms Josefina L de Leon","Protected Areas and Wildlife Bureau (PAWB)","1"
"140","Atty. Asis G Perez","Bureau of Fisheries and Aquatic Resources (BFAR)","1"
"141","Mr. Edwin B Alesna","Bureau of Fisheries and Aquatic Resources (BFAR)","1"
"142","Major Nicomedes Petallo Enad","Bureau of Customs Philippines","1"
"143","Head Agent Sixto O. Comia","Environment and WIldlife Protection Investigation Division (EAWPID) National Bureau of Investigation","1"
"144","Atty. Reynaldo Remo","Environment and Wildlife Protection Investigation Division EAWPID National Bureau of Investigation N","1"
"145","Special Investigator 3 Gregory Yu","Environment and WIldlife Protection Investigation Division (EAWPID) National Bureau of Investigation","1"
"146","Mr. Gerald Neo","Agri-Food and Veterinary (AVA)","1"
"147","Mr. Alex Chin","Immigration and Checkpoints Authority of Singapore (ICA)","1"
"148","Mae Chan Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"149","Chulaporn Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"150","Bang Phra Wildlife and Water Bird Faciliating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"151","Krabok Ku Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"152","Chong Klambon Wildlife Facilating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"153","Doi Tung Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"155","Bang Lamung Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"156","Pang Tong Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"157","Phang Nga Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"158","Pathalung Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"159","Phu Kieaw Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"160","Huey Kha Keng Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"161","Huey Say Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"162","Huey Yang Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"163","Om Koi Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"164","Khao Kho Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"165","Khao Soi Dao Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"166","Mae Lao Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"167","Kok Mairue Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"168","Ton Nga Chang Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"169","Khao Son Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"170","Khao Suan Guang Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"172","Department of National Parks, Wildlife and Plant Conservation (DNP)","Department of National Parks, Wildlife and Plant Conservation (DNP)","1"
"173","Mr Thanawat Thongtan","ASEAN Wildlife Enforcement Network","1"
"174","Dr. Ronasit Maneesai","Department of National Parks, Wildlife and Plant Conservation (DNP)","1"
"175","Mr. Tada Choomchaiyo","Royal Thai Customs","1"
"176","Pol. Maj. Gen. Prasopchock Poldee","Natural Resources Environmental Crime Division","1"
"177","Mr. Hua Duc Nhi","VIETNAM-WEN","1"
"178","Mr. Do Quang Tung","Ministry of  Agriculture and Rural Development ","1"
"179","Mr. Vuong Tien Manh","CITES Management Authority of Viet Nam, Directorate of Forestry, Ministry of Agriculture and Rural D","1"
"180","Investigations and Enforcement Department","General Department of Vietnam Customs","1"
"181","Mr. Ngoc Viet Pham","General Department of Vietnam Customs","1"
"182","Environmental Police Department","Ministry of Public Security, Vietnam","1"
"183","Mr. Tran Ngoc Lan","Environmental Police Department","1"
"187","Wildscan","","1"
"188","Mr. Hj Saidin Salleh","Forestry Division, Ministry of Industry and Promary Resources","1"
"189","Supt. Arief Darmawan","Indonesian National Police","1"
"190","Malaysia Wildlife Crime National Task Force","Secretariat: Biodiversity and Forestry Management Division Biodiversity and Forestry Management Divi","1"
"192","Atty Ernesto D Adobo jr.","Philippine Operations Group on Ivory (POGI)","1"
"193","Mr. Nelson P. Devanadera","Palawan Council for Sustainable Development (PCSD)","1"
"194","Association GOVIIN KHULAN","","1"
"196","Indonesian National Police HQ","Indonesian National Police (INP)","1"
"199","Mr. Orphé Achille Lokossou","CITES","2"
"200","Mr. Sinagabé Ulysse Korogone ","CITES","2"
"201","Général Aristide F. Adjademe","CITES","2"
"202","Mr. Medagbe T. Achille","General Directorate of the Republican Police","2"
"203","Mr. Toure Abdouraman","General Directorate of the Police of the Republic ","2"
"204","Mr. Sodjinou Séraphin","General Directorate Customs and Indirect Rights","2"
"205","Mr. Biao Malick","General Directorate Customs and Indirect Rights","2"
"206","General Directorate Waters, Forest and Hunting ","Not applicable","2"
"207","Nature Tropicale ONG","Nature Tropicale ONG","2"
"208","Centre National de Gestion des Réserves de Faune","National Management Center of Wildlife Reserves","2"
"209","Mr. Benoît Doamba","CITES Focal Point, Ministry of the Environment and Fish Resources (MEEVCC)","2"
"210","Dr. Lassina Sanou","National Center of Forest Seeds","2"
"211","Mr. Ousmane Ouedraogo ","Police Ouagadougou","2"
"212","Mr. Daouda Tiendrebeogo","Police Ouagadougou","2"
"213","Mr. Pascal Rouamba","Urban Parc Bangr-Weogo","2"
"214","Mr. Palamemga Yonli","Veterinary ","2"
"215","Mr. Alain Farma","CITES Customs Focal Point ","2"
"216","Mr. Nebie Rolba Blaise","Customs' Division","2"
"217","Mr. Iderlindo Santos","CITES, Ministry of Agriculture and Environment ","2"
"218","Ms. Sónia Monteiro de Pina Araujo","Service of Nature Conservatoin, Ministry of Agriculture and the Environment, CITES","0"
"219","Mr. Faustino Moreno Sanches","Beach Marine Police, National Police","2"
"220","Mr. António Pinto","Customs, National Directorate of the Recipe of the State, Ministry of Finance","2"
"221","Ms. Jaqueline Neves","International Airport","2"
"222","Mr. Afonso Semedo","Zoosanitary Inspection, Ministry of Agriculture and the Environment","2"
"223","Mrs. Salimata Kone","Ministry of Water and Forests, Directorate of Wildlife and Game Resources ","2"
"224","Mr. Afi Boniface Roth ","Ministry of Waters and Forests, Directorate of Wildlife and Game Resources","2"
"225","Mr. Gbomene Lohoué Lucas ","Airport Inspection Service","2"
"226","Dr. Kane Samouka","Abidjan Zoo","2"
"227","Mr. Hilihase Bakayoko","Office Ivoirien des Parcs et Reserves ","2"
"230","Mr. Mohamed Lamin Kassama","Not applicable","2"
"231","Mr. Mawdo Jallow","CITES Focal Point. PCCF ","2"
"232","Wildlife Division","Forestry Commission of Ghana ","2"
"233","Mr. Nana Kofi Adu Nsiah          ","CITES Forestry Commission Wildlife Division ","2"
"234","Dr. Ben Donkor","Forestry Commission Timber Industry Development Division ","2"
"235","Ms. Mercy Oduro Koomson","CITES Management Authority, Forestry Commission Wildlife Division","2"
"236","Prof. S.K. Oppong","Kwame Nkrumah University of Science and Technology, Faculty of Renewable Natural Resources","2"
"237","Mr. Fredrick Ahenkorah","Ghana Revenue Authority, Customs Division","2"
"238","Mr. Kwaku Kermah","Ghana Revenue Authority, Customs Division","2"
"239","Ghana Police Service","Not applicable","2"
"240","Ms. Ophelia Mensah","Interpol","2"
"241","Mr. Francis Aboagye Nyarko","Ghana Police Service ","2"
"242","Mr. Joao Malacca Quindoco","CITES ","2"
"243","Mr. Joao Damasceno Ramos Furtado","Forests' General Directorate ","2"
"245","Major Bacar Djalo","Brigade for the Protection of Nature and the Environment","2"
"246","Mr. Mamadú Samba Candé","National Directorate Judicial Police of Guinea-Bissau","2"
"247","Madame Quinta Djedjo Moreira","Criminal Investigation, Section of the Economic Crimes, Judicial Police","2"
"248","Mr. Diedjo Fai ","CITES Focal Point","2"
"249","Mr. Mamadou Bella Diallo","CITES Management Authority","2"
"250","Lieutenant Colone Sow Bhoye","CITES Focal Point, Ministry of Environment ","2"
"251","Mr. Fallou Doumbaya","CITES Focal Point ","2"
"252","Mr. Ibrahim Cissé Diallo","Police Head Commissioner and (INTERPOL CITES Focal Point)","2"
"253","Mr. Jean Claude Dramou","Police Commissioner, Head of INTERPOL National Central Bureau (NCB)","2"
"254","Cdt. Cheick Gadiri Conde ","Head of the Intelligence and Risk Analysis Division of Customs (DRAROC)","2"
"255","Inspector Ibrahim Kaba ","CITES Focal Point","2"
"256","Mr. Blamah Sando Goll","CITES Department of Forest Conservation","2"
"257","Mr. Solomon Nyebaayou Daryoue ","National Fisheries and Aquaculture Authority (NaFAA)","0"
"258","Dr. Johnson Jlokpeh Geply","CITES Scientific Authority, Department of Forestry W. R. Tolbert College of Agriculture and Forestry","2"
"259","Mr.. Saa Saamoi","Commissioner of Custom Liberia Revenue Authority","0"
"260","Mr. Jerry Diah","Liberia Revenue Authority","2"
"261","Mr. Peter J. Solo","Roberts International Airport, Liberia Customs Authority","2"
"262","Prof. John T. Woods","CITES Scientific Authority, University of Liberia","2"
"263","Ms. Theresa J. Grandoe","Liberia National Police","2"
"264","Mr. Clement K. Wisseh","Liberia National Police","2"
"265","Mr. Charles B. Blake","","2"
"266","Mr. Borwen L. Sayon ","","2"
"267","Ms. Jenny Desmond","Liberia Chimpanzee Rescue Protection ","2"
"268","Mr. Rudolph Antoune","Libassa Wildlife Sanctuary","2"
"269","Colonel Major Sylla Mamadou","Mali MEADD CITES Focal Point ","2"
"270","Commandant Konate Modibo ","CITES Focal Point","2"
"271","Inspecteur Général Mamadou Gakou","National Directorate of Water and Forests","2"
"272","Colonel Abdoulaye Tamboura","Waters and Forests Interpol Focal Point","2"
"273","Mr. Abou Sidibe","Central Interpol Mali","2"
"275","Inspecteur Abdoulaye Maiga","CITES ","2"
"276","Mr. Ibrhim Ag Assalat ","","2"
"277","Mr. Fadiala Mamadou Tounkara ","Not applicable","2"
"278","Mr. Valy Mamadou Kone","Veterinary engineer of livestock","2"
"280","Mr. Samaila Sahailou ","Ministry of Environment, Wildlife, Hunting Parks and Reserves","2"
"281","Mr. Ibrahim Madougou ","Directorate of Wildlife and Games of Parks and Reserves ","2"
"282","Mr. Kindo Djibo Ousmane","Waters and Forest, Law Enforcement for Crimes Against Wildlife and Forests","2"
"283","Mr. Amadou Assoumi Ibrahima   ","Police Service of the Airport Niamey","2"
"284","Mr. Bakoye Sani ","Niamey Airport Police Service, Products Control","2"
"286","Mr. Moumouni Boha","Diori Hamani Niamey Airport Customs service, General Customs Directorate, Ministry of Finance ","2"
"287","Dr. Ehi-Ebewele Elizabeth ","Federal Department of Forestry, Federal Ministry of Environment","2"
"288","Mr. Andrew Dunn","Wildlife Conservation Society","2"
"289","Mrs. Animashawun Abimbola, Oluwaseyi ","Nigeria Customs Service, Intelligence Unit","2"
"290","Mr. Ajiboye Isaac Temitope","Nigeria Customs Service, Intelligence Unit, Tincan Port","2"
"291","Mr. Bakut T.A. Tuba","Assistant Director, Federal Ministry of Environment","2"
"292","Mr. Odunsi Bola Opeyemi Ayoola","Federal Ministry of Environment","2"
"293","Mr. Alh. Ibrahim M. Goni","Federal Ministry of Environment","2"
"294","Dr. Okeyoyin O. Agboola","Federal Ministry of Environment","2"
"295","Mr. Aminu Ahmed","Nigeria Police, INTERPOL","2"
"296","Ms. Liza Gadsby","PASA","2"
"297","Mrs. Kate M.B. Garnett ","Ministry of Agriculture, Forestry and Food Security","2"
"298","Dr. Abdul Babatunde Karim","University of Sierra Leone","2"
"299","Mr. Momoda Alrashid Bah","Director of the Environmental Protection Agency (EPA)","2"
"300","Mr. Syl Brans Kamara","Environmental Protection Agency (EPA)","2"
"301","Mr. Bassie Mans Dabo","Interpol ","2"
"302","Mr. Brian Samba Kemoh","Custom Services Department","2"
"303","Mr. Apla Yao Mawouéna","Ministry of the Environment and Forest Resources     ","2"
"304","Mr. Segniagbeto Hoinsoude","CITES Scientific Authority, University of Lome","2"
"305","Mr. Guelly Atsu Kudzo","CITES Scientific Authority ","2"
"307","Mr. Okoumassou Kotchikpa","Ministry of Environment and Forestry Resources","2"
"308","Madame Odjoulorè Florentine Akakpo","BCN Interpol Lome'","2"
"309","Fauna Cultura ","Not applicable","2"
"310","Mr. Semedo Komla","Central Office of Drugs Illegal Traffic Repression and Money Laundering (OCRTIDB)","2"
"311","Commandant Doboehloui Didier","Ivorians Customs Directorate of Intelligence, Risk Management and Goods Assessment","2"
"312","Captain Kouassi Koko Dah","International Airport Félix Houphouet Boigny d'Abidjan","2"
"313","Mrs. Sónia Monteiro de Pina Araujo","CITES, Ministry of Agriculture and the Environment","2"
"314","Mr. Solomon Nyebaayou Daryoue ","National Fisheries and Aquaculture Authority (NaFAA)","2"
"315","Mr. Saa Saamoi","Custom Liberia Revenue Authority","2"
"316","Mr. Afiademanyo Komlan","CITES ","2"
"317","Mr Orphée Achille Lokossou","CITES","2"